sid,sentence,label
303,"The Pregnancy Discrimination Act of 1978 was aimed at prohibiting discrimination against women in the workplace who are planning to get pregnant , are pregnant , or are returning after pregnancy .
",1
304,"These goods and services are known as private goods .
",0
305,"New York : Checkmark Books , 151 .
",0
306,"As [ link ] illustrates , sodium ( Na ) only has one electron in its outer electron shell .
",0
307,"Globalization has also led to the development of global commodity chains , where internationally integrated economic links connect workers and corporations for the purpose of manufacture and marketing ( Plahe 2005 ) .
",0
308," Flowers and Fruits as an Evolutionary AdaptationAngiosperms produce their gametes in separate organs , which are usually housed in a flower .
",1
309,"Marriage to a partner from the same social background is an endogamous union .
",1
310," Before that time is the TOE epoch , but we have almost no idea as to the nature of the universe then , since we have no workable theory of quantum gravity .
",0
311,"The discussion also offers some insights about the range of possible reactions when people receive higher wages , and specifically about the claim that if people are paid higher wages , they will work a greater quantity of hours — assuming that they have a say in the matter .
",0
312,"They freeze , run around the room in an erratic manner , or try to run away when the caregiver returns ( Main & Solomon , 1990 ) .
",0
313,"You definitely notice that you must support the weight of a heavy object by pushing up on it when you hold it stationary , as illustrated in [ link ] ( a ) .
",0
314," While sociologists use the family life cycle to study the dynamics of family over time , consumer and marketing researchers have used it to determine what goods and services families need as they progress through each stage ( Murphy and Staples 1979 ) .
",0
315,"Thus , meiosis I is the first round of meiotic division and consists of prophase I , prometaphase I , and so on .
",1
316,"Alf Landon was predicted to win 55.4 percent of the popular vote ; in the end , he received only 38 percent . Arthur Evans , “ Predict Landon Electoral Vote to be 315 to 350 , ” Chicago Tribune , 18 October 1936 .
",0
317,"Clades must include all of the descendants from a branch point .
",0
318," Malthus published a book in 1798 stating that populations with unlimited natural resources grow very rapidly , and then population growth decreases as resources become depleted .
",1
319,"English units were historically used in nations once ruled by the British Empire and are still widely used in the United States .
",0
320,"In addition to spiral cleavage , protostomes also undergo determinate cleavage .
",0
321,"This treaty signaled a dramatic reversal of fortune for France .
",0
322," The ear can be separated into multiple sections .
",0
323,"Remember , monetary policy involves a chain of events : the central bank must perceive a situation in the economy , hold a meeting , and make a decision to react by tightening or loosening monetary policy .
",0
324,"Increased communications and air travel have further opened doors for international business relations , facilitating the flow not only of goods but also of information and people as well ( Scheuerman 2014 ( revised ) ) .
",0
325,"When someone has a combination of alleles for a given gene , they are said to be heterozygous .
",1
326," One set of explanations focuses on the changing shape of American households ; the other focuses on greater inequality of wages , what some economists call “ winner take all ” labor markets .
",0
327,"If an insurance market is to exist , then one of two things must happen .
",0
328,"This property has been commercially exploited to produce pearls .
",0
329," As is the case with other anxiety disorders , the panic attacks can not result from the physiological effects of drugs and other substances , a medical condition , or another mental disorder .
",0
330,"In this way , government checks the actions of business , something that it would not do if capitalism in the United States functioned strictly in the manner that Adam Smith believed it should … almost entirely unregulated .
",0
331,"In fact , in response to tax rate increases , many states have placed legal or constitutional limits on regional governments ’ ability to raise property taxes .
",0
332," For example , the study of island biogeography attempts to explain the relatively high species richness found in certain isolated island chains , including the Galápagos Islands that inspired the young Darwin .
",0
333," The federal government responded by enacting the Force Bill in 1833 , authorizing President Jackson to use military force against states that challenged federal tariff laws .
",1
334,"Since aggregate demand is defined as spending on domestic goods and services , export expenditures add to AD , while import expenditures subtract from AD .
",1
335,"They therefore lack most of the components of cells , such as organelles , ribosomes , and the plasma membrane .
",0
336,"These automated low - cost sequencers can generate sequences of hundreds of thousands or millions of short fragments ( 25 to 500 base pairs ) in the span of one day .
",0
337,"Among the early issues targeted by the Mattachine Society was police entrapment of male homosexuals .
",0
338," An ecosystem is a community of living organisms and their interactions with their abiotic ( non - living ) environment .
",1
339,"These drugs , including the reverse transcriptase inhibitor AZT , inhibit HIV replication by reducing the activity of the enzyme without affecting the host ’s metabolism .
",1
340," The British would turn over the frontier posts in the Northwest , American ships would be allowed to trade freely in the West Indies , and the United States agreed to assemble a commission charged with settling colonial debts U.S. citizens owed British merchants .
",0
341," Salamanders are amphibians that belong to the order Urodela .
",1
342,"Slaves had to cut the long cane stalks by hand and then bring them to a mill , where the cane juice was extracted .
",0
343," This story illustrates a growing concern referred to as grade inflation — a term used to describe the observation that the correspondence between letter grades and the achievements they reflect has been changing ( in a downward direction ) over time .
",1
344,"Animals with bilateral symmetry have a “ head ” and “ tail ” ( anterior vs. posterior ) , front and back ( dorsal vs. ventral ) , and right and left sides ( [ link ] ) .
",1
345," These differences are based on cultural attitudes toward aging .
",0
346,"Chemotrophs ( or chemosynthetic organisms ) obtain their energy from chemical compounds .
",1
347,"In practicing cultural relativism , we should also consider variations , such as whether a legal union is required ( think of “ common law ” marriage and its equivalents ) , or whether more than two people can be involved ( consider polygamy ) .
",0
348," Colin Powell ( b ) , nominated by George W. Bush , was also unanimously confirmed .
",0
349,"Capacitors have applications ranging from filtering static out of radio reception to energy storage in heart defibrillators .
",0
350," American Judicature Society and Malia Reddick . http://www.americanbar.org/content/dam/aba/migrated/JusticeCenter/Justice/PublicDocuments/judicial_selection_roadmap.authcheckdam.pdf .
",0
351,"The axis of a polarizing filter is the direction along which the filter passes the electric field of an EM wave ( see [ link] ) .
",1
352,"The pamphlet proved immensely popular and was soon available in all thirteen colonies , where it helped convince many to reject monarchy and the British Empire in favor of independence and a republican form of government .
",1
353,"Typically the higher the average level of education in an economy , the higher the accumulated human capital and the higher the labor productivity .
",0
354,"”United States v. Miller , 307 U.S. 174 ( 1939 ) .
",1
355," Predators that ignore this coloration and eat the organisms will experience their unpleasant taste or presence of toxic chemicals and learn not to eat them in the future .
",1
356,"Fungi often interact with other organisms , forming beneficial or mutualistic associations .
",0
357,"Even as scientists discovered new forms of energy , conservation of energy has always been found to apply .
",0
358," Many organisms sink to the bottom of the ocean when they die in the open water ; when this occurs , the energy found in that living organism is sequestered for some time unless ocean upwelling occurs .
",0
359,"Keyssar , 175 , 186 – 187 .
",0
360," There is also no particular reason to expect a government budget to be balanced in the medium term of a few years .
",0
361,"Newton ’s first law is often called the law of inertia .
",0
362,"Still other viruses affect the plant by directly killing plant cells , a process known as cell necrosis .
",1
363," Whatever the firm ’s quantity of production , total revenue must exceed total costs if it is to earn a profit .
",0
364," The subsequent discovery of gold in California in 1848 further spurred interest in connecting the Atlantic and Pacific Oceans , and led to the construction of the Panama Railway , which began operations in 1855 .
",0
365," The most obvious method of obtaining better detail is to utilize shorter wavelengths .
",0
366,"“Supreme Court Procedures . ” United States Courts .
",0
367," In 1817 , David Ricardo , a businessman , economist , and member of the British Parliament , wrote a treatise called On the Principles of Political Economy and Taxation .
",0
368," A justice ’s decisions are influenced by how he or she defines his role as a jurist , with some justices believing strongly in judicial activism , or the need to defend individual rights and liberties , and they aim to stop actions and laws by other branches of government that they see as infringing on these rights .
",0
369," The reexamination of past cases through DNA evidence has revealed dozens in which people were wrongfully executed .
",0
370,"According to Senator Barbara Boxer ( D - CA ) , senators wanted “ to hold Dr. Rice and the Bush administration accountable for their failures in Iraq and in the war on terrorism . ”
",0
371,"Glycosidic bonds ( also called glycosidic linkages ) can be of the alpha or the beta type .
",0
372,"In short , there could be no taxation without representation .
",0
373," It is thought that her secretary supported this practice by suggestions to Ginsberg that “ those nine men ” ( the other Supreme Court justices ) , “ hear that word and their first association is not the way you want them to be thinking ” ( Case 1995 ) .
",0
374,"The genetic diversity of sexually produced offspring is thought to give species a better chance of surviving in an unpredictable or changing environment .
",0
375," Globalization refers to the process of integrating governments , cultures , and financial markets through international trade into a single world market .
",1
376,"In equation form , ΔE Δt ≥ h 4 π , ΔE Δt ≥ h 4 π , size 12 { ΔE Δt > = { { h } over { 4 π } } } { } where ΔE ΔE size 12 { ΔE } { } is the uncertainty in energy and Δt Δt size 12 { Δt } { } is the uncertainty in time .
",0
377,"Other than the fact that vacuoles are somewhat larger than vesicles , there is a very subtle distinction between them : The membranes of vesicles can fuse with either the plasma membrane or other membrane systems within the cell .
",0
378,"However , this can occur only if neutrinos have a mass .
",0
379," A more modern form of traditional authority is patrimonialism , which is traditional domination facilitated by an administration and military that are purely personal instruments of the master ( Eisenberg 1998 ) .
",1
380,"For Hamilton , the establishment of the Bank of the United States was fully within Congress ’s authority , and he hoped the bank would foster economic development , print and circulate paper money , and provide loans to the government .
",0
381,"Earlier in this chapter , we considered some of the key government policies that provide support for the poor : the welfare program TANF , the earned income tax credit , SNAP , and Medicaid .
",0
382,"The distance to the closest object that can be seen clearly is called the near point of the eye ( normally 25 cm ) .
",1
383,"Some soils have no dominant particle size and contain a mixture of sand , silt , and humus ; these soils are called loams .
",1
384,"Of course , it is not the color we sense with visible light , but its properties are analogous to those of three primary and three secondary colors .
",0
385," Many crystals and solutions rotate the plane of polarization of light passing through them .
",1
386,"Paul A. Samuelson . 1954 .
",0
387,"http://celdf.org/2015/08/why-existing-law-wont-stop-corporations-from-harming-your-community/ ( March 14 , 2016 ) .
",0
388," The megaspores and the female gametophytes are produced and protected by the thick tissues of the carpel .
",0
389," If an object moves relative to a reference frame ( for example , if a professor moves to the right relative to a white board or a passenger moves toward the rear of an airplane ) , then the object ’s position changes .
",1
390,"Like the amygdala , research has demonstrated that hippocampal structure and function are linked to a variety of mood and anxiety disorders .
",0
391,"Imagine that you are preparing a table showing the size of GDP in many countries in several recent years , and for ease of comparison , you are converting all the values into U.S. dollars .
",0
392,"Genomic - and proteomic - scale analyses are part of systems biology .
",0
393," The next stage of development is emerging adulthood .
",0
394," It is controversial , with opponents arguing it causes water pollution , sound pollution , and earthquakes .
",0
395," The next year , in Worcester v. Georgia , the Court ruled that whites could not enter tribal lands without the tribe ’s permission .
",0
396,"The marginal propensity to consume ( MPC ) , is the share of the additional dollar of income a person decides to devote to consumption expenditures .
",1
397,"Peverill Squire . 2007 .
",0
398,"Julia Preston , “ Arizona Ruling Only a Narrow Opening for Other States , ” New York Times , 25 June 2012 .
",0
399,"The new equilibrium ( E1 ) is an output level of 206 and a price level of 92 .
",0
400,"These bonds are stronger and much more common than ionic bonds in the molecules of living organisms .
",0
401,"Daniel Mazmanian and Paul Sabatier .
",0
402,"Elizabeth Lopatto , “ How Many Innocent People Are Sentenced To Death ? , ” Forbes , 29 April 2014 . http://www.forbes.com/sites/elizabethlopatto/2014/04/29/how-many-innocent-people-are-sentenced-to-death/#6e9ae5175cc1 ( March 1 , 2016 ) .
",0
403," These intensely religious migrants dreamed of creating communities of reformed Protestantism where the corruption of England would be eliminated .
",0
404,"The second largest source of federal revenue is the payroll tax ( captured in social insurance and retirement receipts ) , which provides funds for Social Security and Medicare .
",0
405," A variable is any part of the experiment that can vary or change during the experiment .
",1
406," Postindustrial Society
",0
407,"Jefferson also wanted to bolster trade in the West , seeing the port of New Orleans and the Mississippi River ( then the western boundary of the United States ) as crucial to American agricultural commerce .
",0
408,"In 1957 , Central High School in Little Rock , Arkansas , was forced to accept its first nine African American students , who became known as the Little Rock Nine .
",1
409,"After the NK cell detects an infected or tumor cell , its cytoplasm secretes granules comprised of perforin , a destructive protein that creates a pore in the target cell .
",1
410,"Like flowers , fruit can vary tremendously in appearance , size , smell , and taste .
",0
411,"Individuals who experience depersonalization might believe their thoughts and feelings are not their own ; they may feel robotic as though they lack control over their movements and speech ; they may experience a distorted sense of time and , in extreme cases , they may sense an “ out - of - body ” experience in which they see themselves from the vantage point of another person .
",0
412,"Albert Bandura ( 1994 ) theorized that an individual ’s sense of self - efficacy plays a pivotal role in motivating behavior .
",0
413,"Some soils have no dominant particle size and contain a mixture of sand , silt , and humus ; these soils are called loams .
",1
414,"The focusing ability is provided by the movement of both the objective lens and the eyepiece .
",0
415,"A bond is a financial contract : a borrower agrees to repay the amount that was borrowed and also a rate of interest over a period of time in the future .
",1
416," Representative John Bingham ( R - OH ) ( a ) is considered the author of the Fourteenth Amendment , adopted on July 9 , 1868 .
",0
417," The division between mesons and baryons is actually based on their observed decay modes and is not strictly associated with their masses .
",0
418," Just as in the pre - Civil War United States , these humans are at the mercy of their employers .
",0
419," For example , in [ link ] , all of the organisms in the orange region evolved from a single ancestor that had amniotic eggs .
",0
420," Swedish sociologist Lars Tornstam developed a symbolic interactionist theory called gerotranscendence : the idea that as people age , they transcend the limited views of life they held in earlier times .
",1
421," A labor union is an organization of workers that negotiates with employers over wages and working conditions .
",1
422," A microphyll is small and has a simple vascular system .
",0
423,"To model the reality of limited resources , population ecologists developed the logistic growth model .
",0
424," Robert Sternberg developed another theory of intelligence , which he titled the triarchic theory of intelligence because it sees intelligence as comprised of three parts ( Sternberg , 1988 ) : practical , creative , and analytical intelligence ( [ link ] ) .
",1
425,"Therefore , both proprioception ( perception of body position ) and kinesthesia ( perception of the body ’s movement through space ) interact with information provided by the vestibular system .
",1
426," There is another form of Heisenberg ’s uncertainty principle for simultaneous measurements of energy and time .
",0
427," The Portuguese traded or sold slaves to Spanish , Dutch , and English colonists in the Americas , particularly in South America and the Caribbean , where sugar was a primary export .
",0
428,"A covalent bond formed between a carbohydrate molecule and another molecule ( in this case , between two monosaccharides ) is known as a glycosidic bond ( [ link ] ) .
",1
429,"Think about what you do when you walk into an elevator ( [ link ] ) .
",0
430," An event schema , also known as a cognitive script , is a set of behaviors that can feel like a routine .
",1
431," The property of a body to remain at rest or to remain in motion with constant velocity is called inertia .
",1
432,"Metagenomics can be used to identify new species more rapidly and to analyze the effect of pollutants on the environment ( [ link ] ) .
",0
433,"A growth rate is simply the percentage change in some quantity .
",1
434," In each of these situations , an object has a velocity relative to a medium ( such as a river ) and that medium has a velocity relative to an observer on solid ground .
",0
435," In addition to the receptors located in the skin , there are also a number of free nerve endings that serve sensory functions .
",0
436,"We have since come to refer to this integration of international trade and finance markets as globalization .
",1
437,"Resources , such as labor , tools , land , and raw materials are necessary to produce the goods and services we want but they exist in limited supply .
",0
438,"Stromatolites form layered rocks made of carbonate or silicate .
",0
439," Half these people were children .
",0
440,"Based on his creation of lesions and the animals ’ reaction , he formulated the equipotentiality hypothesis : if part of one area of the brain involved in memory is damaged , another part of the same area can take over that memory function ( Lashley , 1950 ) .
",1
441,"During the campaign , a number of local voters received a call that polled them on how they planned to vote on the proposed fracking ban .
",0
442,"Many crops were developed during the agricultural revolution , when human societies made the transition from nomadic hunter – gatherers to horticulture and agriculture .
",1
443," A denomination is a large , mainstream religious organization , but it does not claim to be official or state sponsored .
",1
444,"Retraction occurs as a joint moves back into position after protraction .
",1
445," While some Americans disapprove of partisanship in general , others are put off by the ideology — established beliefs and ideals that help shape political policy — of one of the major parties .
",1
446,"The state insurance regulators typically attempt to accomplish two things : to keep the price of insurance low and to make sure that everyone has insurance .
",0
447,"When the war ended , the bank continued to issue only paper banknotes and to redeem notes issued by state banks with paper only .
",0
448,"When the United States is party to a case , the solicitor general ( or one of his or her assistants ) will argue the government ’s position ; even in other cases , the solicitor general may still be given time to express the government ’s position on the dispute .
",0
449,"Antibodies are the functional basis of humoral immunity .
",0
450,"Proslavery Missourians who crossed the border to vote in Kansas became known as border ruffians ; these gained the advantage by winning the territorial elections , most likely through voter fraud and illegal vote counting .
",1
451," Electron Orbitals
",0
452,"Economists have suggested why a utility - maximizing person might rationally decide not to vote or not to become informed about the election .
",0
453," There is a lot of human behavior out there that mainstream economists have tended to call “ irrational ” since it is consistently at odds with economists ’ utility maximizing models .
",0
454,"Fluid intelligence encompasses the ability to see complex relationships and solve problems .
",1
455,"An example of this stage is the 1800s in the United States .
",0
456,"Many , however , feared that a nation as large as the United States could not be ruled effectively as a republic .
",0
457," While domestic policymaking requires far more give - and - take and a fair share of cajoling and collaboration , national emergencies and war offer presidents far more opportunity to act vigorously and at times independently .
",0
458,"The nation ’s laws are made primarily by well - educated white male professionals and businessmen .
",0
459,"The treaty did not address the important issue of impressment , however — the British navy ’s practice of forcing or “ impressing ” American sailors to work and fight on British warships .
",1
460,"Each enzyme is specific for the substrate ( a reactant that binds to an enzyme ) it acts on .
",1
461," “ Radio and Television Address to the American People on the Situation in Little Rock . ”
",0
462,"Health psychology emerged as a discipline in the 1970s , a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases ( Straub , 2007 ) .
",0
463,"With the average person spending over four hours a day in front of the television ( and children averaging even more screen time ) , media greatly influences social norms ( Roberts , Foehr , and Rideout 2005 ) .
",0
464,"[ link ] shows the areas of primary and secondary growth in a plant .
",0
465," Following fertilization of the egg , the ovule grows into a seed .
",0
466," The gap between exports and imports is called the trade balance .
",1
467,"Sexual orientation is typically divided into four categories : heterosexuality , the attraction to individuals of the other sex ; homosexuality , the attraction to individuals of the same sex ; bisexuality , the attraction to individuals of either sex ; and asexuality , no attraction to either sex .
",1
468," He disagreed , however , with Skinner ’s strict behaviorist approach to personality development , because he felt that thinking and reasoning are important components of learning .
",0
469,"A person with this disorder might , for example , spend hours each day washing his hands or constantly checking and rechecking to make sure that a stove , faucet , or light has been turned off .
",0
470," One Partner or Many?People in the United States typically equate marriage with monogamy , when someone is married to only one person at a time .
",1
471,"It consists of a nucleus surrounded by electrons .
",0
472,"The Supreme Court ruled that while the government can impose prior restraint on the media , meaning the government can prevent the publication of information , that right is very limited .
",0
473,"For example , in maquiladoras , mostly found in northern Mexico , workers may sew imported precut pieces of fabric into garments . Globalization also brings an international division of labor , in which comparatively wealthy workers from core nations compete with the low - wage labor pool of peripheral and semi - peripheral nations .
",1
474,"When we review Census Bureau statistics grouping the elderly by age , it is clear that in the United States , at least , we are living longer .
",0
475," The earned income tax credit ( EITC ) , first passed in 1975 , is a method of assisting the working poor through the tax system .
",1
476,"Typically , ageism occurs against older adults , but ageism also can occur toward younger adults .
",0
477,"These skilled mariners cruised the Caribbean , plundering Spanish ships whenever they could .
",0
478," First , the media do not have the right to commit slander , speak false information with an intent to harm a person or entity , or libel , print false information with an intent to harm a person or entity .
",0
479," In the Atkinson - Shiffrin model , stimuli from the environment are processed first in sensory memory : storage of brief sensory events , such as sights , sounds , and tastes .
",1
480," The successful ones will survive to pass on their own characteristics and traits ( which we know now are transferred by genes ) to the next generation at a greater rate ( natural selection ) .
",1
481,"In a command economy , economic effort is devoted to goals passed down from a ruler or ruling class .
",1
482,"Finally , Article VI declared that the U.S. Constitution and any laws or treaties made in connection with that document were to supersede constitutions and laws made at the state level .
",1
483," Evidence indicates that during the first two billion years of Earth ’s existence , the atmosphere was anoxic , meaning that there was no molecular oxygen .
",1
484," The current understanding of evolutionary relationships between animal , or Metazoa , phyla begins with the distinction between “ true ” animals with true differentiated tissues , called Eumetazoa , and animal phyla that do not have true differentiated tissues ( such as the sponges ) , called Parazoa .
",1
485,"As the wind pushes ocean waters offshore , water from the bottom of the ocean moves up to replace this water .
",0
486," Finally , children with disorganized attachment behaved oddly in the Strange Situation .
",0
487,"There is no cavity , or space , present between the bones and so most fibrous joints do not move at all , or are only capable of minor movements .
",0
488," Polygyny refers to a man being married to more than one woman at the same time .
",1
489,"Instead of being controlled by government , business , and industry , Smith argued , people should be allowed to operate as they wish and keep the proceeds of their work .
",0
490,"Some scholars argue that disturbance theory can explain why groups mobilize due to an event in the political , economic , or social environment .
",0
491,"Human ecology is a functionalist field of study that looks at on the relationship between people and their built and natural physical environments ( Park 1915 ) .
",1
492,"Malthus identified these factors as war , famine , and disease ( Malthus 1798 ) .
",0
493,"Kate Sheppard , “ Top Texas Regulator : Could Russia be Behind City ’s Proposed Fracking Ban ? ” Huffington Post , 16 July 2014 .
",0
494," The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology , a subfield of psychology devoted to understanding the importance of psychological influences on health , illness , and how people respond when they become ill ( Taylor , 1999 ) .
",1
495,"Two presidents won the Electoral College without a popular majority .
",0
496,"While a few elections in very small towns may be decided by a single vote , in most elections of any size , the margin of victory is measured in hundreds , thousands , or even millions of votes .
",0
497,"Finally , a small number of governors , including the governor of Texas , also have the power of a reduction veto , which allows them to reduce the budget proposed in a piece of legislation .
",1
498,"The final type , acting crowds , focuses on a specific goal or action , such as a protest movement or riot . In addition to the different types of crowds , collective groups can also be identified in two other ways .
",1
499,"The Supreme Court ’s decisions are not always unanimous , however ; the published majority opinion , or explanation of the justices ’ decision , is the one with which a majority of the nine justices agree .
",0
500," Specific phobias are common ; in the United States , around 12.5 % of the population will meet the criteria for a specific phobia at some point in their lifetime ( Kessler et al . , 2005 ) .
",0
501,"Informal polls are called straw polls , and they informally collect opinions of a non - random population or group .
",1
502,"Sarah and Angelina Grimke , the daughters of a wealthy slaveholding family in South Carolina , became first abolitionists and then women ’s rights activists .
",0
503," President Barack Obama ( second from left ) with Vice President Joe Biden ( far left ) , Secretary of State Hillary Clinton ( second from right ) , Secretary of Defense Robert Gates ( far right ) , and other national security advisers in the Situation Room of the White House , watching the successful raid on Osama bin Laden ’s compound on May 1 , 2011 .
",0
504,"The organisms that consume the primary producers are herbivores : the primary consumers .
",1
505,"The Economic Opportunity Act of 1964 was designed to help end poverty by creating a Job Corps and a Neighborhood Youth Corps .
",1
506,"In contrast , expressive leaders are more concerned with promoting emotional strength and health , and ensuring that people feel supported .
",1
507,"For example , the right to bear arms for protection ( Second Amendment ) , the right not to have to provide shelter and provision for soldiers in peacetime ( Third Amendment ) , the right to a trial by jury ( Sixth and Seventh Amendments ) , and protection from excessive fines and from cruel and unusual punishment ( Eighth Amendment ) are taken from the English Bill of Rights .
",1
508,"But it ultimately left it to the bureaucracy to figure out exactly how ‘ clean ’ water needed to be .
",0
509,"Other species are generalists : species which live in a wide variety of geographic areas ; the raccoon , for example , is native to most of North and Central America .
",1
510,"A corporate bond is issued by firms , but bonds are also issued by various levels of government .
",0
511,"This principle asserts that things that are close to one another tend to be grouped together , as [ link ] illustrates .
",0
512,"Not all fruits develop from an ovary ; such structures are “ false fruits . ”
",1
513,"Felt provided information about a number of potential stories and was Woodward ’s main source for information about President Richard Nixon ’s involvement in a series of illegal activities , including the break - in at Democratic Party headquarters in Washington ’s Watergate office complex .
",0
514,"Torres became interested in social justice early in his life .
",0
515," Only a few animal groups display radial symmetry .
",0
516," As Communist governments came to power elsewhere in the world , American policymakers extended their strategy of containment to what became known as the domino theory under the Eisenhower administration : Neighbors to Communist nations , so was the assumption , were likely to succumb to the same allegedly dangerous and infectious ideology .
",1
517,"Instead , most choices involve marginal analysis , which means comparing the benefits and costs of choosing a little more or a little less of a good .
",1
518," The increasing public political role of the first lady continued in the 1980s with Nancy Reagan ’s “ Just Say No ” antidrug campaign and in the early 1990s with Barbara Bush ’s efforts on behalf of literacy .
",0
519," But the image of them as swindlers taking advantage of the South at its time of need resonated with a white southern population aggrieved by loss and economic decline .
",0
520," Economists use the term demand to refer to the amount of some good or service consumers are willing and able to purchase at each price .
",1
521,"This involves job analysis , which means accurately describing the task or job .
",1
522," The actual step that converts light energy into chemical energy takes place in a multiprotein complex called a photosystem , two types of which are found embedded in the thylakoid membrane , photosystem II ( PSII ) and photosystem I ( PSI ) ( [ link ] ) .
",1
523,"( A grand jury is a group of citizens charged with deciding whether there is enough evidence of a crime to prosecute someone . )
",1
524,"The Federalist faction , led by Alexander Hamilton , largely dominated the government in the years immediately after the Constitution was ratified .
",0
525,"The precedent set by each ruling , particularly by the Supreme Court ’s decisions , both builds on principles and guidelines set by earlier cases and frames the ongoing operation of the courts , steering the direction of the entire system .
",0
526," Though family and other societal models help guide a person toward a career , personal choice plays a role .
",0
527,"Cells in the juxtaglomerular apparatus , which regulates the functions of the nephrons of the kidney , detect this and release renin .
",1
528,"We will do this analysis as we discuss each of these investments in the sections below .
",0
529," Women are also represented in all branches of the military and can serve in combat .
",0
530,"Private schooling is a type of good called a toll good .
",0
531,"Erik Hayden , “ Mitt Romney ’s Transition Website : Where ‘ President - Elect ’ Romney Lives On , ” Time , 8 November 2012 .
",0
532,"A base provides either hydroxide ions ( OH – ) or other negatively charged ions that combine with hydrogen ions , reducing their concentration in the solution and thereby raising the pH .
",1
533,"It is one religion among many .
",0
534,"When someone has two copies of the same allele , they are said to be homozygous for that allele .
",1
535,"See Vern L. Bullough .
",0
536,"In either case , the city council will then appoint a city manager to carry out the administrative functions of the municipal government .
",0
537,"They interact through forces that include the Coulomb force .
",0
538,"The secretary of defense , who is the civilian ( nonmilitary ) head of the armed services housed in the Department of Defense , is also a key cabinet member for foreign policy ( as mentioned above ) .
",1
539,"According to the U.S. Census , the gap between the earnings of blacks and whites diminished in the 1970s , but has not changed in 50 years .
",0
540,"These kinds of delusions are known as paranoid delusions , which involve the ( false ) belief that other people or agencies are plotting to harm the person .
",1
541,"This includes moving the neck back to look upward , or bending the wrist so that the hand moves away from the forearm .
",0
542,"Greenhouse gases absorb and emit radiation and are an important factor in the greenhouse effect : the warming of Earth due to carbon dioxide and other greenhouse gases in the atmosphere . Evidence supports the relationship between atmospheric concentrations of carbon dioxide and temperature : as carbon dioxide rises , global temperature rises .
",1
543," Thinking of the molecules as many slits , analogous to those for the oscillating ropes , we can understand why only light with a specific polarization can get through .
",0
544," New York : Atherton Press .
",0
545,"This reinforcement schedule is the quickest way to teach someone a behavior , and it is especially effective in training a new behavior .
",0
546,"The productivity of the primary producers is especially important in any ecosystem because these organisms bring energy to other living organisms by photoautotrophy or chemoautotrophy .
",0
547,"The European Bioinformatics Institute and the Human Proteome Organization ( HUPO ) are developing and establishing effective tools to sort through the enormous pile of systems biology data .
",0
548,"Child slavery , which may include child prostitution , is a form of chattel slavery .
",0
549,"This step of rehearsal , the conscious repetition of information to be remembered , to move STM into long - term memory is called memory consolidation .
",1
550,"http://www.uscourts.gov/about-federal-courts/educational-resources/about-educational-outreach/activity-resources/supreme-1 ( March 1 , 2016 ) .
",0
551,"Agoraphobia , which literally means “ fear of the marketplace , ” is characterized by intense fear , anxiety , and avoidance of situations in which it might be difficult to escape or receive help if one experiences symptoms of a panic attack ( a state of extreme anxiety that we will discuss shortly ) .
",1
552," To add further explanation to Article III , Alexander Hamilton wrote details about the federal judiciary in Federalist No. 78 .
",0
553,"This type of reaction is known as dehydration synthesis , which means “ to put together while losing water . ”
",0
554,"From beginning as a one - cell structure to your birth , your prenatal development occurred in an orderly and delicate sequence .
",0
555,"To ensure their vote was largely meaningless , the white elites used their control of the Democratic Party to create the white primary : primary elections in which only whites were allowed to vote .
",1
556,"Clade Dinosauria includes birds , which evolved from a branch of dinosaurs .
",1
557," A variety of reformers created organizations devoted to temperance , that is , moderation or self - restraint .
",1
558," In 1610 , Spanish settlers established themselves at Santa Fe — originally named La Villa Real de la Santa Fe de San Francisco de Asís , or “ Royal City of the Holy Faith of St. Francis of Assisi ” — where many Pueblo villages were located .
",0
559," People with these disorders display a personality style that is odd or eccentric .
",0
560," Why did n’t it have a counterpart ?
",0
561," [ link ] shows the average wage of black workers as a ratio of the average wage of white workers and the average wage of female workers as a ratio of the average wage of male workers .
",0
562," Helms was famous for opposing nearly all treaties brought to the Senate during his tenure .
",0
563,"First , they assimilate new information or experiences in terms of their current schemata : assimilation is when they take in information that is comparable to what they already know .
",1
564," People often form judgments and hold expectations about people based on their age .
",0
565,"Black holes are difficult to observe directly , because they are small and no light comes directly from them .
",0
566,"Groups of participants in the foreign exchange market like firms and investors include some who are buyers and some who are sellers .
",0
567,"It is far less common and only occurs in about 1 percent of the world ’s cultures ( Altman and Ginat 1996 ) .
",0
568,"The strategy of selective engagement — retaining a strong military presence and remaining engaged across the world through alliances and formal installations — is used to protect the national security interests of the United States .
",1
569," The coelom of most protostomes is formed through a process called schizocoely , meaning that during development , a solid mass of the mesoderm splits apart and forms the hollow opening of the coelom .
",1
570," Finally , some mandates come in the form of partial preemption regulations , whereby the federal government sets national regulatory standards but delegates the enforcement to state and local governments .
",1
571," Following the Revolution , some of the northern states had either abolished slavery or instituted plans by which slaves would gradually be emancipated .
",0
572,"Judicial review is the power of the courts , as part of the system of checks and balances , to look at actions taken by the other branches of government and the states and determine whether they are constitutional .
",1
573," Paine wrote Common Sense ( [ link ] ) in simple , direct language aimed at ordinary people , not just the learned elite .
",0
574," Rest energy is
",0
